Studentennummer, Minor1, Minor2, Minor3, Minor4, Minor5, Minor6, Minor7
"2556,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,"
"2441,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,"
"2479,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,"
"2891,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,"
"1648,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,"
"2732,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,"
"2770,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,"
"2748,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,"
"2966,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,"
"2964,Minor 3D,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,"
"1484,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,,"
"2409,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,,"
"3138,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,,"
"3246,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,,"
"3185,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,�,"
"3116,Minor 3D,Minor 3D,Minor 3D,Minor 3D,,,,"
"2734,Minor 3D,Minor 3D,Minor 3D,Minor Game Design,,,,"
"2978,Minor 3D,Minor 3D,Minor 3D,Minor Game Design,,,,"
"3170,Minor 3D,Minor 3D,Minor 3D,Minor Game Design,,,,"
"2862,Minor 3D,Minor 3D,Minor 3D,Minor Multimediaal Reclamebureau,Minor Game Design,Minor 3D,,"
"906,Minor 3D,Minor 3D,Minor 3D,Minor The Next Web,Minor The Next Web,,,"
"1147,Minor 3D,Minor 3D,Minor 3D,,,,,"
"2751,Minor 3D,Minor 3D,Minor 3D,,,,,"
"1734,Minor 3D,Minor 3D,Minor 3D,,,,,"
"2560,Minor 3D,Minor 3D,Minor 3D,,,,,"
"2741,Minor 3D,Minor 3D,Minor 3D,,,,,"
"2859,Minor 3D,Minor 3D,Minor 3D,,,,,"
"3267,Minor 3D,Minor 3D,Minor 3D,,,,,"
"3247,Minor 3D,Minor 3D,Minor 3D,,,,,"
"3200,Minor 3D,Minor 3D,Minor 3D,,,,,"
"3099,Minor 3D,Minor 3D,Minor Art \'n\' Sound,,,,,"
"3303,Minor 3D,Minor 3D,Minor Concepting,Minor Concepting,,,,"
"2707,Minor 3D,Minor 3D,Minor Crossmedia,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,,"
"1317,Minor 3D,Minor 3D,Minor Crossmedia,Minor Crossmedia,,,,"
"1612,Minor 3D,Minor 3D,Minor Game Design,Minor Game Design,Minor Game Design,,,"
"898,Minor 3D,Minor 3D,Minor Game Design,Minor Game Design,,,,"
"850,Minor 3D,Minor 3D,Minor Multimediaal Reclamebureau,Minor 3D,Minor 3D,,,"
"932,Minor 3D,Minor 3D,Minor The Next Web,Minor The Next Web,,,,"
"1019,Minor 3D,Minor 3D,,,,,,"
"1496,Minor 3D,Minor 3D,,,,,,"
"3500,Minor 3D,Minor 3D,,,,,,"
"3356,Minor 3D,Minor 3D,,,,,,"
"3400,Minor 3D,Minor 3D,,,,,,"
"3468,Minor 3D,Minor 3D,,,,,,"
"3540,Minor 3D,Minor 3D,,,,,,"
"3364,Minor 3D,Minor 3D,,,,,,"
"3459,Minor 3D,Minor 3D,,,,,,"
"3569,Minor 3D,Minor 3D,,,,,,"
"3607,Minor 3D,Minor 3D,,,,,,"
"3622,Minor 3D,Minor 3D,,,,,,"
"3586,Minor 3D,Minor 3D,,,,,,"
"1240,Minor 3D,Minor Art\'n\'sound,,,,,,"
"2511,Minor 3D,Minor Concepting,Minor Concepting,Minor Ondernemen,Minor Multimediaal Reclamebureau,Minor Concepting,,"
"3187,Minor 3D,Minor Concepting,Minor Concepting,Minor Transmedia Storytelling,Minor Concepting,,,"
"2545,Minor 3D,Minor Concepting,Minor Crossmedia,Minor Crossmedia,,,,"
"2979,Minor 3D,Minor Crossmedia,Minor 3D,,,,,"
"1459,Minor 3D,Minor Crossmedia,Minor Concepting,,,,,"
"1354,Minor 3D,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,"
"2415,Minor 3D,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,,,"
"2711,Minor 3D,Minor Crossmedia,Minor Crossmedia,Minor Multimediaal Reclamebureau,,,,"
"2601,Minor 3D,Minor Crossmedia,Minor Game Design,Minor 3D,Minor 3D,,,"
"914,Minor 3D,Minor Crossmedia,Minor Multimediaal Reclamebureau,Minor The Next Web,,,,"
"960,Minor 3D,Minor Game Design,Minor 3D,,,,,"
"1568,Minor 3D,Minor Game Design,Minor Game Design,Minor Game Design,Minor Game Design,Minor Game Design,Minor 3D,"
"1205,Minor 3D,Minor Game Design,Minor Game Design,Minor Game Design,,,,"
"2804,Minor 3D,Minor Game Design,Minor Game Design,Minor Game Design,,,,"
"1345,Minor 3D,Minor Game Design,Minor Game Design,,,,,"
"895,Minor 3D,Minor Gamedesign,Minor Game Design,Minor Game Design,,,,"
"2474,Minor 3D,Minor Multimediaal Reclamebureau,Minor 3D,Minor 3D,,,,"
"2857,Minor 3D,Minor Multimediaal Reclamebureau,Minor Crossmedia,Minor The Next Web,Minor The Next Web,,,"
"1754,Minor 3D,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,,,"
"1131,Minor 3D,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,Minor Ondernemen,,,,"
"3487,Minor 3D,Minor Multimediaal Reclamebureau,Minor The Next Web,,,,,"
"3420,Minor 3D,Minor Multimediaal Reclamebureau,,,,,,"
"3451,Minor 3D,Minor Multimediaal Reclamebureau,,,,,,"
"3425,Minor 3D,Minor Multimediaal Reclamebureau,,,,,,"
"1778,Minor 3D,Minor The Next Web,Minor Multimediaal Reclamebureau,Minor Multimediaal Reclamebureau,,,,"
"1575,Minor 3D,Minor The Next Web,Minor The Next Web,Minor The Next Web,,,,"
"3606,Minor 3D,Minor The Next Web,,,,,,"
"3543,Minor 3D,,,,,,,"
"3439,Minor 3D,,,,,,,"
"3491,Minor 3D,,,,,,,"
"3798,Minor 3D,,,,,,,"
"2858,Minor Art \'n\' Sound,Minor 3D,Minor 3D,,,,,"
"2808,Minor Art \'n\' Sound,Minor Art \'n\' Sound,Minor Concepting,,,,,"
"1626,Minor Art \'n\' Sound,Minor Art \'n\' Sound,,,,,,"
"3181,Minor Art \'n\' Sound,Minor Art \'n\' Sound,,,,,,"
"3204,Minor Art \'n\' Sound,Minor Art \'n\' Sound,,,,,,"
"3601,Minor Art \'n\' Sound,Minor Art \'n\' Sound,,,,,,"
"3578,Minor Art \'n\' Sound,Minor Art \'n\' Sound,,,,,,"
"3453,Minor Art \'n\' Sound,Minor Art \'n\' Sound,,,,,,"
"3532,Minor Art \'n\' Sound,Minor Art \'n\' Sound,,,,,,"
"2854,Minor Art \'n\' Sound,Minor Concepting,,,,,,"
"2973,Minor Art \'n\' Sound,Minor Concepting,,,,,,"
"3256,Minor Art \'n\' Sound,Minor Concepting,,,,,,"
"3442,Minor Art \'n\' Sound,Minor Concepting,,,,,,"
"3387,Minor Art \'n\' Sound,Minor Concepting,,,,,,"
"3255,Minor Art \'n\' Sound,Minor Multimediaal Reclamebureau,,,,,,"
"3169,Minor Art \'n\' Sound,Minor The Next Web,Minor Art \'n\' Sound,,,,,"
"3542,Minor Art \'n\' Sound,Minor Transmedia Storytelling,,,,,,"
"1667,Minor Art \'n\' Sound,,,,,,,"
"3506,Minor Art \'n\' Sound,,,,,,,"
"3432,Minor Art \'n\' Sound,,,,,,,"
"3498,Minor Art \'n\' Sound,,,,,,,"
"3438,Minor Art \'n\' Sound,,,,,,,"
"2937,Minor Art & Sound,Minor Multimediaal Reclamebureau,Minor Art \'n\' Sound,Minor The Next Web,Minor Art \'n\' Sound,,,"
"2658,Minor Art & Sound,Minor The Next Web,Minor The Next Web,Minor Art \'n\' Sound,Minor Art \'n\' Sound,,,"
"1776,Minor Art\'n\'Sound,Minor 3D,Minor The Next Web,Minor Crossmedia,,,,"
"2772,Minor Art\'n\'sound,Minor Art \'n\' Sound,Minor 3D,Minor 3D,Minor 3D,,,"
"2928,Minor Art\'n\'sound,Minor Art \'n\' Sound,Minor Art \'n\' Sound,Minor Art \'n\' Sound,Minor Transmedia Storytelling,,,"
"2593,Minor Art\'n\'sound,Minor Art\'n\'Sound,Minor Art\'n\'sound,Minor Art \'n\' Sound,Minor Crossmedia,Minor Art \'n\' Sound,Minor Concepting,"
"2606,Minor Art\'n\'sound,Minor Art\'n\'Sound,Minor Art\'n\'sound,Minor Art \'n\' Sound,Minor Transmedia Storytelling,,,"
"2536,Minor Art\'n\'Sound,Minor Art\'n\'sound,Minor Crossmedia,Minor Crossmedia,Minor Crossmedia,Minor Transmedia Storytelling,,"
"2750,Minor Art\'n\'sound,Minor Concepting,Minor Concepting,,,,,"
